key,text,english,notes,verse,tag,checked,date,checked_by
version,0.7,0.7,,,float,TRUE,2026-06-06,Matthias
pdf_title,The Promised Offspring,The Promised Offspring,2026-06-12,,text,TRUE,2026-06-06,Matthias
pdf_subject,Lineage of Jesus,Lineage of Jesus,,,text,TRUE,2026-06-06,Matthias
Adam,Adam,Adam,,Luke 3:38,bible,TRUE,2026-06-06,Matthias
Seth,Seth,Seth,,Luke 3:38,bible,TRUE,2026-06-06,Matthias
Enosh,Enosh,Enosh,,Luke 3:38,bible,TRUE,2026-06-06,Matthias
Cainan,Cainan,Cainan,,Luke 3:37,bible,TRUE,2026-06-06,Matthias
Kenan,Kenan (Ca·iʹnan),Kenan,Cainan in Luke 3:37,Genesis 5:12,bible,TRUE,2026-06-06,Matthias
Mahalaleel,Ma·haʹla·le·el ,Mahalaleel,,Luke 3:37,bible,TRUE,2026-06-06,Matthias
Jared,Jaʹred,Jared,,Luke 3:37,bible,TRUE,2026-06-06,Matthias
Enoch,Eʹnoch,Enoch,,Luke 3:37,bible,TRUE,2026-06-06,Matthias
Methuselah,Me·thuʹse·lah,Methuselah,,Luke 3:37,bible,TRUE,2026-06-06,Matthias
Lamech,Laʹmech,Lamech,,Luke 3:36,bible,TRUE,2026-06-06,Matthias
Noah,Noah,Noah,,Luke 3:36,bible,TRUE,2026-06-06,Matthias
Shem,Shem,Shem,,Luke 3:36,bible,TRUE,2026-06-06,Matthias
Arpachshad,Ar·pachʹshad,Arpachshad,,Luke 3:36,bible,TRUE,2026-06-06,Matthias
Shelah,Sheʹlah,Shelah,,Luke 3:35,bible,TRUE,2026-06-06,Matthias
Eber,Eʹber,Eber,,Luke 3:35,bible,TRUE,2026-06-06,Matthias
Peleg,Peʹleg,Peleg,,Luke 3:35,bible,TRUE,2026-06-06,Matthias
Reu,Reʹu,Reu,,Luke 3:35,bible,TRUE,2026-06-06,Matthias
Serug,Seʹrug,Serug,,Luke 3:35,bible,TRUE,2026-06-06,Matthias
Nahor,Naʹhor,Nahor,,Genesis 11:24,bible,TRUE,2026-06-06,Matthias
Terah,Teʹrah,Terah,,Luke 3:34,bible,TRUE,2026-06-06,Matthias
Abraham,Abraham,Abraham,,Luke 3:34,bible,TRUE,2026-06-06,Matthias
Isaac,Isaac,Isaac,,Luke 3:34,bible,TRUE,2026-06-06,Matthias
Jacob,Jacob,Jacob,,Luke 3:34,bible,TRUE,2026-06-06,Matthias
Judah,Judah,Judah,Leah,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Levi,Leʹvi,Levi,Leah,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Reuben,Reuʹben,Reuben,Leah,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Simeon,Simʹe·on,Simeon,Leah,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Issachar,Isʹsa·char,Issachar,Leah,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Zebulun,Zebʹu·lun,Zebulun,Leah,Genesis 35:23,bible,TRUE,2026-06-06,Matthias
Joseph,Joseph,Joseph,Rahel,Genesis 35:24,bible,TRUE,2026-06-06,Matthias
Benjamin,Benjamin,Benjamin,Rahel,Genesis 35:24,bible,TRUE,2026-06-06,Matthias
Asher,Ashʹer,Asher,Zilpah,Genesis 35:26,bible,TRUE,2026-06-06,Matthias
Gad,Gad,Gad,Zilpah,Genesis 35:26,bible,TRUE,2026-06-06,Matthias
Naphtali,Naphʹta·li,Naphtali,Bilhah,Genesis 35:25,bible,TRUE,2026-06-06,Matthias
Dan,Dan,Dan,Bilhah,Genesis 35:25,bible,TRUE,2026-06-06,Matthias
Perez,Peʹrez,Perez,from Tamar and Judah,Matthew 1:3,bible,TRUE,2026-06-06,Matthias
Hezron,Hezʹron,Hezron,,Matthew 1:3,bible,TRUE,2026-06-06,Matthias
Ram_Arni,Ram (Arni),Ram (Arni),"Matthew Ram, Luke Arni",Matthew 1:3,bible,TRUE,2026-06-06,Matthias
Amminadab,Am·minʹa·dab,Amminadab,,Matthew 1:4,bible,TRUE,2026-06-06,Matthias
Nahshon,Nahʹshon,Nahshon,,Luke 3:32,bible,TRUE,2026-06-06,Matthias
Salma_Salmon,Salʹmon (Salmon),Salma (Salmon),with Rahab (Matthew),Luke 3:32,bible,TRUE,2026-06-06,Matthias
Boaz,Boʹaz,Boaz,with Ruth (Matthew),Luke 3:32,bible,TRUE,2026-06-06,Matthias
