key,text,version,notes,verse,tag
version,0.6,0.6,,,float
pdf_title,The Promised Offspring,0.1,2026-06-06,,text
pdf_subject,Lineage of Jesus,0.1,,,text
Adam,Adam,0.1,,Luke 3:38,bible
Seth,Seth,0.1,,Luke 3:38,bible
Enosh,Enosh,0.1,,Luke 3:38,bible
Cainan,Cainan,0.1,,Luke 3:37,bible
Kenan,Kenan,0.1,Cainan in Luke 3:37,Genesis 5:12,bible
Mahalaleel,Ma·haʹla·le·el ,0.1,,Luke 3:37,bible
Jared,Jared,0.1,,Luke 3:37,bible
Enoch,Enoch,0.1,,Luke 3:37,bible
Methuselah,Methuselah,0.1,,Luke 3:37,bible
Lamech,Lamech,0.1,,Luke 3:36,bible
Noah,Noah,0.1,,Luke 3:36,bible
Shem,Shem,0.1,,Luke 3:36,bible
Arpachshad,Arpachshad,0.1,,Luke 3:36,bible
Shelah,Shelah,0.1,,Luke 3:35,bible
Eber,Eber,0.1,,Luke 3:35,bible
Peleg,Peleg,0.1,,Luke 3:35,bible
Reu,Reu,0.1,,Luke 3:35,bible
Serug,Serug,0.1,,Luke 3:35,bible
Nahor,Nahor,0.1,,Genesis 11:24,bible
Terah,Terah,0.1,,Luke 3:34,bible
Abraham,Abraham,0.1,,Luke 3:34,bible
Isaac,Isaac,0.1,,Luke 3:34,bible
Jacob,Jacob,0.1,,Luke 3:34,bible
Judah,Judah,0.1,Leah,Genesis 35:23,bible
Levi,Levi,0.1,Leah,Genesis 35:23,bible
Reuben,Reuben,0.1,Leah,Genesis 35:23,bible
Simeon,Simeon,0.1,Leah,Genesis 35:23,bible
Issachar,Issachar,0.1,Leah,Genesis 35:23,bible
Zebulun,Zebulun,0.1,Leah,Genesis 35:23,bible
Joseph,Joseph,0.1,Rahel,Genesis 35:24,bible
Benjamin,Benjamin,0.1,Rahel,Genesis 35:24,bible
Asher,Asher,0.1,Zilpah,Genesis 35:26,bible
Gad,Gad,0.1,Zilpah,Genesis 35:26,bible
Naphtali,Naphtali,0.1,Bilhah,Genesis 35:25,bible
Dan,Dan,0.1,Bilhah,Genesis 35:25,bible
Perez,Perez,0.1,from Tamar and Judah,Matthew 1:3,bible
Hezron,Hezron,0.1,,Matthew 1:3,bible
Ram_Arni,Ram (Arni),0.1,"Matthew Ram, Luke Arni",Matthew 1:3,bible
Amminadab,Amminadab,0.1,,Matthew 1:4,bible
Nahshon,Nahshon,0.1,,Luke 3:32,bible
Salma_Salmon,Salma (Salmon),0.1,with Rahab (Matthew),Luke 3:32,bible
Boaz,Boaz,0.1,with Ruth (Matthew),Luke 3:32,bible
Obed,Obed,0.1,,Luke 3:32,bible
Jesse,Jesse,0.1,,Luke 3:32,bible
David,David,0.1,with Bathsheba below:,Luke 3:31,bible
Nathan,Nathan,0.1,natural through Mary (Luke),Luke 3:31,bible
Mattatha,Mattatha,0.1,,Luke 3:31,bible
Menna,Menna,0.1,,Luke 3:31,bible
Melea,Melea,0.1,,Luke 3:31,bible
Elakim,Elakim,0.1,,Luke 3:30,bible
Jonam,Jonam,0.1,,Luke 3:30,bible
Joseph,Joseph,0.1,"son of Jonam, Eliakim",Luke 3:30,bible
Judas,Judas,0.1,,Luke 3:30,bible
Symeon,Symeon,0.1,,Luke 3:30,bible
Levi,Levi,0.1,son of Symeon,Luke 3:29,bible
Matthat,Matthat,0.1,,Luke 3:29,bible
Jorim,Jorim,0.1,,Luke 3:29,bible
Eliezer,Eliezer,0.1,,Luke 3:29,bible
Jesus,Jesus,0.1,son of Eliezer,Luke 3:29,bible
Er,Er,0.1,,Luke 3:28,bible
Elmadam,Elmadam,0.1,,Luke 3:28,bible
Cosam,Cosam,0.1,,Luke 3:28,bible
Addi,Addi,0.1,,Luke 3:28,bible
Melchi,Melchi,0.1,,Luke 3:28,bible
Neri,Neri,0.1,,Luke 3:27,bible
Shealtiel,Shealtiel,0.1,,Luke 3:27,bible
Zerubbabel,Zerubbabel,0.1,overlap two lineages,Luke 3:27,bible
Rhesa,Rhesa,0.1,,Luke 3:27,bible
Joanan,Joanan,0.1,,Luke 3:27,bible
Joda,Joda,0.1,,Luke 3:26,bible
Josech,Josech,0.1,,Luke 3:26,bible
Semein,Semein,0.1,,Luke 3:26,bible
Mattathias,Mattathias,0.1,,Luke 3:26,bible
Maath,Maath,0.1,,Luke 3:26,bible
Naggai,Naggai,0.1,,Luke 3:25,bible
Esli,Esli,0.1,,Luke 3:25,bible
Nahum,Nahum,0.1,,Luke 3:25,bible
Amos,Amos,0.1,,Luke 3:25,bible
Mattathias,Mattathias,0.1,,Luke 3:25,bible
Joseph,Joseph,0.1,,Luke 3:24,bible
Jannai,Jannai,0.1,,Luke 3:24,bible
Melchi,Melchi,0.1,,Luke 3:24,bible
Levi,Levi,0.1,,Luke 3:24,bible
Matthat,Matthat,0.1,,Luke 3:24,bible
Heli,Heli,0.1,,Luke 3:23,bible
Joseph,Joseph,0.1,son of Rachel,Genesis 35:24,bible
Joseph2,Joseph,0.1,son of Jonam,Luke 3:30,bible
Joseph3,Joseph,0.1,son of Mattathias,Luke 3:24,bible
Joseph4,Joseph,0.1,"son of Jacob, stepfather of Jesus",Luke 3:23,bible
Jesus,Jesus,0.1,Christ,Matthew 1:16,bible
Jesus2,Jesus,0.1,son of Eliezer,Luke 3:29,bible
Mary,Mary,0.1,Luke states Joseph here,Luke 3:23,bible
Solomon,Solomon,0.1,legal line w/ Joseph (Matthew),Matthew 1:6,bible
Rehoboam,Rehoboam,0.1,,Matthew 1:7,bible
Abijah,Abijah,0.1,,Matthew 1:7,bible
Asa,Asa,0.1,,Matthew 1:8,bible
Jehoshaphat,Jehoshaphat,0.1,,Matthew 1:8,bible
Jehoram,Jehoram,0.1,,Matthew 1:8,bible
Ahaziah,Ahaziah,0.1,"missing in Matthew, Ahaziah #2",1 Kings 22:51,bible
Jehoash,Jehoash,0.1,"missing in Matthew, Jehoash #1",2 Kings 12:1,bible
Amaziah,Amaziah,0.1,"missing in Matthew, Amayiah #2",2 Kings 14:1,bible
Uzziah_Azariah,Uzziah (Azariah),0.1,,Matthew 1:9,bible
Jotham,Jotham,0.1,,Matthew 1:9,bible
Ahaz,Ahaz,0.1,,Matthew 1:9,bible
Hezekiah,Hezekiah,0.1,,Matthew 1:9,bible
Manasseh,Manasseh,0.1,"son of Joseph, #1",Genesis 41:51,bible
Manasseh2,Manasseh,0.1,"son of Hezekiah, #4",Matthew 1:10,bible
Amon,Amon,0.1,,Matthew 1:10,bible
Josiah,Josiah,0.1,,Matthew 1:10,bible
Eliakim_Jehoiakim,Eliakim (Jehoiakim),0.1,"626-618, missing in Matthew, #2",2 Kings 23:34,bible
Jeconiah_Jehoiachin,Jeconiah (Jehoiachin),0.1,,Matthew 1:11,bible
Shealtiel,Shealtiel,0.1,,Matthew 1:12,bible
Pedaiah,Pedaiah,0.1,"missing in Matthew, Z in 55",1 Chronicles 3:19,bible
Abiud,Abiud,0.1,after Zerubbabel (Sheshbazzar),Matthew 1:13,bible
Eliakim,Eliakim,0.1,,Matthew 1:13,bible
Azor,Azor,0.1,,Matthew 1:13,bible
Zadok,Zadok,0.1,,Matthew 1:14,bible
Achim,Achim,0.1,,Matthew 1:14,bible
Eliud,Eliud,0.1,,Matthew 1:14,bible
Eleazar,Eleazar,0.1,,Matthew 1:15,bible
Matthan,Matthan,0.1,,Matthew 1:15,bible
Jacob,Jacob,0.1,,Matthew 1:15,bible
Joseph,Joseph,0.1,,Matthew 1:16,bible
Eve,Eve,0.1,,Genesis 4:1,bible
Sarah,Sarah,0.1,,Genesis 17:15,bible
