husband,wife,ver
Adam,Eve,0.1
Abraham,Sarah,0.1
Isaac,Rebekah,0.1
Jacob,Leah,0.1
Jacob,Rahel,0.1
David,Bathsheba,0.1
Joseph4,Mary,0.1
Joseph,Asenath,0.2
Judah,Tamar,0.3
Solomon,Naamah,0.3
Rehoboam,Maacah,0.3
Asa,Azubah,0.3
Jehoram,Athaliah,0.3
Ahaziah,Zibiah,0.3
Jehoash,Jehoaddan_Jehoaddin,0.3
Amaziah,Jecoliah,0.3
Uzziah_Azariah,Jerusha_Jerushah,0.3
Ahaz,Abi_Abijah,0.3
Hezekiah,Hephzibah,0.2
Manasseh2,Meshullemeth,0.3
Amon,Jedidah,0.3
Josiah,Hamutal,0.3
Eliakim_Jehoiakim,Nehushta,0.3
Shealtiel,daughter_of_Neri,0.3
Salma_Salmon,Rahab,0.4
Boaz,Ruth,0.4
