key,row,column,color,notes,list,sup,ver,king,scripture,sup_l,sub_l,sup_r,sub_r
Adam,14,14.3,blue,*** START IN ROW ONE ***,1,0,0.1,FALSE,Luke 3:38,4026,3096,,
Eve,14,16.3,red,,2,0,1,FALSE,,,,,
Seth,28,14.3,blue,,3,0,1,FALSE,Luke 3:38,3896,2984,,
Abel,28,16.3,blue,,4,0,1,FALSE,,,,,
Cain,28,18.3,blue,,5,0,1,FALSE,,,,,
Enosh,42,14.3,blue,,6,0,1,FALSE,Luke 3:38,3791,2886,,
Kenan,56,14.3,blue,Cainan in Luke 3:37,7,0,1,FALSE,Genesis 5:12,3701,2791,,
Mahalaleel,70,14.3,blue,,8,0,1,FALSE,Luke 3:37,3631,2736,,
Jared,84,14.3,blue,,9,0,1,FALSE,Luke 3:37,3566,2604,,
Enoch,98,14.3,blue,,10,0,1,FALSE,Luke 3:37,3404,3039,,
Methuselah,112,14.3,blue,,11,0,1,FALSE,Luke 3:37,3339,2370,,
Lamech,126,14.3,blue,,12,0,1,FALSE,Luke 3:36,3152,2377,,
Noah,140,14.3,blue,,13,0,1,FALSE,Luke 3:36,2970,2020,,
Shem,154,14.3,blue,,14,0,1,FALSE,Luke 3:36,2468,1868,,
Ham,154,11.6,blue,,15,0,8,FALSE,Genesis 9:18,,,,
Japheth,154,17,blue,,16,0,8,FALSE,Genesis 9:18,,,,
Arpachshad,168,14.3,blue,,17,0,1,FALSE,Luke 3:36,2368,1930,,
Shelah,182,14.3,blue,,18,0,1,FALSE,Luke 3:35,2333,1900,,
Eber,196,14.3,blue,,17,0,1,FALSE,Luke 3:35,2303,1839,,
Peleg,210,14.3,blue,,18,0,1,FALSE,Luke 3:35,2269,2030,,
Reu,224,14.3,blue,,19,0,1,FALSE,Luke 3:35,2239,2000,,
Serug,238,14.3,blue,,20,0,1,FALSE,Luke 3:35,2207,1977,,
Nahor,252,14.3,blue,,21,0,1,FALSE,Genesis 11:24,2177,2029,,
Terah,266,14.3,blue,,22,0,1,FALSE,Luke 3:34,2148,1943,,
Abraham,280,14.3,blue,,23,0,1,FALSE,Luke 3:34,2018,1843,,
Sarah,280,17,red,,24,0,1,FALSE,,2008,1881,,
Isaac,294,14.3,blue,,25,0,1,FALSE,Luke 3:34,1918,1738,,
Rebekah,294,17,red,,26,0,1,FALSE,,,,,
Jacob,308,14.3,blue,,27,0,1,FALSE,Luke 3:34,1858,1711,,
Leah,308,7.1,red,Leah (8.9),28,0,1,FALSE,,,,,
Zilpah,308,17,red,Zilpah (17.0),29,0,1,FALSE,,,,,
Bilhah,308,20.6,red,Bilhah (20.6),30,0,1,FALSE,,,,,
Rahel,308,24.2,red,Rahel (24.2),31,0,1,FALSE,,,,,
Dinah,326,1.7,red,Leah,32,0,1,FALSE,Genesis 30:21,,,,
Reuben,326,3.5,blue,Leah,33,0,1,FALSE,,,,,
Simeon,326,5.3,blue,Leah,34,0,1,FALSE,,,,,
Levi,326,7.1,blue,Leah (8.9),35,0,1,FALSE,,,,,
Issachar,326,8.9,blue,Leah,36,0,1,FALSE,,,,,
Zebulun,326,10.7,blue,Leah,37,0,1,FALSE,,,,,
Judah,326,14.3,blue,Leah,38,0,1,FALSE,,,,,
Asher,326,16.1,blue,Zilpah (17.0),39,0,1,FALSE,,,,,
Gad,326,17.9,blue,Zilpah,40,0,1,FALSE,,,,,
Naphtali,326,19.7,blue,Bilhah (20.6),41,0,1,FALSE,,,,,
Dan,326,21.5,blue,Bilhah,42,0,1,FALSE,,,,,
Benjamin,326,23.3,blue,Rahel (24.2),43,0,1,FALSE,,,,,
Joseph,326,25.1,blue,Rahel,44,0,1,FALSE,Genesis 30:24,1767,1657,,
Asenath,326,26.9,red,,45,0,1,FALSE,,,,,
