key,row,column,approx,notes,row12
4026,14,14.6,FALSE,Edenic Promise,10
2370,14,16.3,FALSE,Flood,
2269,28,14.3,TRUE,Tower of Babel,
1943,28,16.3,FALSE,,
1919,28,18.3,FALSE,,
1913,42,14.3,FALSE,,
1728,56,14.3,FALSE,Cainan in Luke 3:37,
1711,70,14.3,FALSE,,
1613,84,14.3,FALSE,,
1600,98,14.3,FALSE,,
1513,112,14.3,FALSE,,1
1473,126,14.3,FALSE,,
1173,140,14.3,FALSE,,
1117,154,14.3,FALSE,,
1077,168,14.3,FALSE,,
1037,182,14.3,FALSE,,
1034,,,FALSE,,
997,,,FALSE,,
940,,,FALSE,,
632,,,FALSE,,
607,,,FALSE,,
539,,,FALSE,,
537,,,FALSE,,
483,,,FALSE,,
468,,,FALSE,,
455,,,FALSE,,
443,,,FALSE,,
406,,,FALSE,,
331,,,FALSE,,
30,,,FALSE,,
2,,,FALSE,,
-29,,,FALSE,,
-33,,,FALSE,,
-36,,,FALSE,,
