key,row,column,approx,notes,row12,line
4026,376,0.1,FALSE,'=F2*12.5-11.5,31,TRUE
2370,463.5,0.1,FALSE,Flood,38,TRUE
2269,676,0.1,TRUE,Tower of Babel,55,FALSE
1943,688.5,0.1,FALSE,,56,TRUE
1919,813.5,0.1,FALSE,,66,FALSE
1913,913.5,0.1,FALSE,,74,FALSE
1728,1026,0.1,FALSE,Israel to Egypt,83,FALSE
1711,1038.5,0.1,FALSE,,84,FALSE
1613,1113.5,0.1,TRUE,Job tried,90,FALSE
1600,1126,0.1,TRUE,,91,FALSE
1513,1151,0.1,FALSE,,93,TRUE
1513.1,1,15,FALSE,Same 1512,1,TRUE
1473,163.5,15,FALSE,,14,TRUE
1173,251,15,FALSE,,21,FALSE
1117,263.5,15,FALSE,,22,TRUE
1077,288.5,15,FALSE,,24,TRUE
1037,438.5,15,FALSE,,36,TRUE
1034,451,15,FALSE,,37,TRUE
997,513.5,15,FALSE,,42,TRUE
940,601,15,FALSE,,49,FALSE
632,626,15,FALSE,,51,FALSE
607,638.5,15,FALSE,,52,TRUE
539,738.5,15,FALSE,,60,FALSE
537,763.5,15,FALSE,,62,TRUE
483,776,15,FALSE,,63,FALSE
468,801,15,FALSE,,65,FALSE
455,813.5,15,FALSE,,66,TRUE
443,838.5,15,FALSE,,68,FALSE
406,851,15,FALSE,,69,TRUE
331,863.5,15,FALSE,,70,FALSE
30,876,15,FALSE,,71,FALSE
2,888.5,15,FALSE,,72,FALSE
-29,963.5,15,FALSE,,78,TRUE
-33,1138.5,15,FALSE,,92,FALSE
-36,1151,15,FALSE,,93,FALSE
